"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2021","70,022.18","70,194.28","70,594.73","69,236.65","0.03K","-0.25%"
"Aug 27, 2021","70,194.28","67,686.24","70,433.67","67,139.58","0.15K","3.71%"
"Aug 26, 2021","67,686.24","70,252.78","71,229.11","66,592.44","0.12K","-3.65%"
"Aug 25, 2021","70,252.78","68,956.67","70,730.10","67,937.35","0.07K","1.88%"
"Aug 24, 2021","68,956.67","72,036.61","72,522.06","68,794.82","0.13K","-4.28%"
"Aug 23, 2021","72,036.61","72,302.01","73,849.22","71,327.62","0.11K","-0.37%"
"Aug 22, 2021","72,302.01","71,800.53","72,665.44","70,664.86","0.06K","0.70%"
"Aug 21, 2021","71,800.53","72,041.26","72,854.06","70,694.00","0.06K","-0.33%"
"Aug 20, 2021","72,041.26","68,423.32","72,287.09","68,384.71","0.19K","5.30%"
"Aug 19, 2021","68,412.77","65,257.60","68,878.73","64,178.13","0.08K","4.83%"
"Aug 18, 2021","65,257.60","64,536.42","66,638.98","63,956.65","0.08K","1.12%"
"Aug 17, 2021","64,536.42","65,397.17","67,937.73","64,330.63","0.09K","-1.32%"
"Aug 16, 2021","65,397.17","66,896.97","68,335.98","65,237.97","0.12K","-2.24%"
"Aug 15, 2021","66,896.97","67,126.76","67,423.79","64,586.82","0.06K","-0.34%"
"Aug 14, 2021","67,126.76","68,151.17","68,369.89","65,470.05","0.08K","-1.50%"
"Aug 13, 2021","68,151.17","63,501.84","68,151.17","63,323.20","0.07K","7.32%"
"Aug 12, 2021","63,501.84","64,878.06","66,183.89","62,698.85","0.10K","-2.18%"
"Aug 11, 2021","64,919.95","65,159.90","66,786.42","64,518.68","0.12K","-0.37%"
"Aug 10, 2021","65,159.90","66,205.93","66,844.79","63,989.27","0.10K","-1.58%"
"Aug 09, 2021","66,205.93","62,600.96","66,468.96","61,192.16","0.14K","5.76%"
"Aug 08, 2021","62,600.96","63,594.20","64,647.98","61,780.09","0.10K","-1.56%"
"Aug 07, 2021","63,594.20","60,970.28","63,728.74","60,466.43","0.18K","4.30%"
"Aug 06, 2021","60,970.28","57,873.36","61,782.25","56,609.01","0.11K","5.35%"
"Aug 05, 2021","57,873.36","56,445.53","58,618.30","53,034.45","0.12K","2.53%"
"Aug 04, 2021","56,445.53","54,439.18","57,114.07","53,139.80","0.06K","3.69%"
"Aug 03, 2021","54,439.18","56,153.55","56,801.69","53,845.49","0.12K","-3.05%"
"Aug 02, 2021","56,153.55","57,483.38","58,101.26","55,660.10","0.09K","-2.31%"
"Aug 01, 2021","57,483.38","59,552.40","61,163.93","56,656.17","0.14K","-3.47%"
"Jul 31, 2021","59,552.40","60,516.68","60,847.76","58,983.65","0.06K","-1.59%"
"Jul 30, 2021","60,516.68","57,137.38","60,516.68","54,621.74","0.16K","5.91%"
"Jul 29, 2021","57,137.38","57,535.77","58,166.85","56,331.48","0.06K","-0.69%"
"Jul 28, 2021","57,535.77","56,552.21","58,961.48","55,808.37","0.15K","1.74%"
"Jul 27, 2021","56,552.21","53,419.22","56,628.39","52,038.95","0.09K","5.86%"
"Jul 26, 2021","53,419.22","50,712.60","57,831.67","50,437.69","0.32K","5.34%"
"Jul 25, 2021","50,712.60","49,265.79","50,712.60","48,635.42","0.08K","4.42%"
"Jul 24, 2021","48,565.28","48,187.92","48,829.24","48,018.06","0.09K","0.78%"
"Jul 23, 2021","48,187.92","46,342.16","48,344.26","45,959.01","0.09K","3.98%"
"Jul 22, 2021","46,342.16","46,250.70","46,793.76","45,547.93","0.05K","0.20%"
"Jul 21, 2021","46,250.70","43,055.44","46,998.42","42,600.01","0.12K","7.41%"
"Jul 20, 2021","43,060.74","44,427.00","44,714.08","42,478.95","0.21K","-3.08%"
"Jul 19, 2021","44,427.00","45,488.76","45,694.12","43,949.33","0.12K","-2.33%"
"Jul 18, 2021","45,488.76","45,073.79","46,475.15","44,539.95","0.03K","0.92%"
"Jul 17, 2021","45,073.79","44,998.29","45,631.96","44,539.45","0.06K","0.17%"
"Jul 16, 2021","44,998.29","45,495.78","45,921.94","44,381.50","0.07K","-1.09%"
"Jul 15, 2021","45,495.78","46,747.04","48,427.43","44,825.96","0.22K","-2.68%"
"Jul 14, 2021","46,747.04","46,991.34","47,301.81","45,319.02","0.16K","-0.52%"
"Jul 13, 2021","46,991.34","47,542.02","48,025.33","46,613.25","0.08K","-1.16%"
"Jul 12, 2021","47,542.02","48,859.88","49,609.62","46,888.99","0.08K","-2.70%"
"Jul 11, 2021","48,859.88","48,142.25","49,568.59","47,664.90","0.02K","1.49%"
"Jul 10, 2021","48,142.25","48,478.37","49,086.46","47,319.35","0.04K","-0.69%"
"Jul 09, 2021","48,478.37","47,324.99","48,736.05","46,895.86","0.04K","2.44%"
"Jul 08, 2021","47,324.99","48,264.05","48,361.61","46,280.87","0.14K","-1.95%"
"Jul 07, 2021","48,264.05","48,902.43","49,908.25","48,242.18","0.06K","-0.52%"
"Jul 06, 2021","48,518.77","47,953.52","48,674.26","47,953.52","0.09K","1.18%"
"Jul 05, 2021","47,953.52","50,272.04","50,272.04","47,953.52","0.10K","-4.61%"
"Jul 04, 2021","50,272.04","50,609.97","50,609.97","50,272.04","0.04K","1.53%"
"Jul 03, 2021","49,512.70","48,162.19","49,512.70","48,162.19","0.05K","2.80%"
"Jul 02, 2021","48,162.19","47,975.48","48,162.19","47,975.48","0.11K","0.39%"
"Jul 01, 2021","47,975.48","49,766.25","49,766.25","47,533.39","0.27K","-3.60%"
"Jun 30, 2021","49,766.25","51,229.33","51,229.33","49,766.25","0.12K","-2.86%"
"Jun 29, 2021","51,229.33","48,861.20","51,229.33","48,861.20","0.09K","4.85%"
"Jun 28, 2021","48,861.20","48,949.58","48,949.58","47,989.93","0.08K","-0.18%"
"Jun 27, 2021","48,949.58","45,776.42","48,949.58","45,776.42","0.08K","6.93%"
"Jun 26, 2021","45,776.42","44,912.94","45,776.42","44,912.94","0.09K","1.92%"
